mode,n,S,trial,comparisons,time_s
hybrid,1000,171,2,7291,0.001805800013244152
hybrid,1000,171,3,7629,0.0013973000459372997
hybrid,1000,172,1,7102,0.0010287999175488949
hybrid,1000,172,2,7368,0.0020768000977113843
hybrid,1000,172,3,7445,0.0013228999450802803
hybrid,1000,173,1,7483,0.001115799997933209
hybrid,1000,173,2,7393,0.0013741999864578247
hybrid,1000,173,3,7124,0.0015693999594077468
hybrid,1000,174,1,7421,0.001742799999192357
hybrid,1000,174,2,7283,0.0017984999576583505
hybrid,1000,174,3,7429,0.0016410000389441848
hybrid,1000,175,1,7525,0.001180300023406744
hybrid,1000,175,2,7270,0.0013584999833256006
hybrid,1000,175,3,7258,0.0017345999367535114
hybrid,1000,176,1,7545,0.001892399974167347
hybrid,1000,176,2,7142,0.0019474000437185168
hybrid,1000,176,3,7472,0.001839500037021935
hybrid,1000,177,1,7821,0.0011710000690072775
hybrid,1000,177,2,7318,0.0011053000343963504
hybrid,1000,177,3,7821,0.0017287000082433224
hybrid,1000,178,1,7124,0.001110800076276064
hybrid,1000,178,2,7320,0.0011236000573262572
hybrid,1000,178,3,7903,0.0011839000508189201
hybrid,1000,179,1,7649,0.0012164999498054385
hybrid,1000,179,2,7246,0.001066500088199973
hybrid,1000,179,3,7328,0.0010537999914959073
hybrid,1000,180,1,7547,0.0027164999628439546
hybrid,1000,180,2,7297,0.0020671000238507986
hybrid,1000,180,3,7230,0.0024280999787151814
hybrid,1000,181,1,7062,0.001236799987964332
hybrid,1000,181,2,7315,0.0018295999616384506
hybrid,1000,181,3,7471,0.0016835000133141875
hybrid,1000,182,1,7454,0.0011663999175652862
hybrid,1000,182,2,7380,0.001653800019994378
hybrid,1000,182,3,7170,0.0019301000284031034
hybrid,1000,183,1,7449,0.0012776999501511455
hybrid,1000,183,2,7583,0.0011575999669730663
hybrid,1000,183,3,7651,0.0011464999988675117
hybrid,1000,184,1,7310,0.0016217000083997846
hybrid,1000,184,2,7232,0.0010897000320255756
hybrid,1000,184,3,7671,0.0011368000414222479
hybrid,1000,185,1,7149,0.0010246000019833446
hybrid,1000,185,2,7408,0.001267499988898635
hybrid,1000,185,3,7240,0.0013142999960109591
hybrid,1000,186,1,7061,0.001070300000719726
hybrid,1000,186,2,7383,0.0010728000197559595
hybrid,1000,186,3,7775,0.0011026000138372183
hybrid,1000,187,1,7515,0.002088500070385635
hybrid,1000,187,2,7479,0.0013153000036254525
hybrid,1000,187,3,7154,0.0011141999857500196
