mode,n,S,trial,comparisons,time_s
hybrid,1887,10,1,17434,0.01235350000206381
hybrid,1887,10,2,17312,0.007053299923427403
hybrid,1887,10,3,17462,0.0037318000104278326
hybrid,1887,11,1,17451,0.0063226999482139945
hybrid,1887,11,2,17399,0.0036217999877408147
hybrid,1887,11,3,17444,0.004607199924066663
hybrid,1887,12,1,17379,0.003570099943317473
hybrid,1887,12,2,17445,0.005030800006352365
hybrid,1887,12,3,17232,0.004812700091861188
hybrid,1887,13,1,17364,0.004264199989847839
hybrid,1887,13,2,17301,0.005291900015436113
hybrid,1887,13,3,17360,0.01026470004580915
hybrid,1887,14,1,17226,0.006642300053499639
hybrid,1887,14,2,17280,0.005691800033673644
hybrid,1887,14,3,17164,0.005149500095285475
hybrid,1887,15,1,17109,0.0053044999949634075
hybrid,1887,15,2,17117,0.005961299990303814
hybrid,1887,15,3,17042,0.0029314999701455235
hybrid,1887,16,1,16920,0.003470800002105534
hybrid,1887,16,2,17199,0.005752100027166307
hybrid,1887,16,3,17020,0.002976299962028861
hybrid,1887,17,1,17082,0.005600300035439432
hybrid,1887,17,2,16960,0.005135599989444017
hybrid,1887,17,3,16946,0.004657499957829714
hybrid,1887,18,1,17002,0.0033062000293284655
hybrid,1887,18,2,17029,0.006883700028993189
hybrid,1887,18,3,16997,0.006525399978272617
hybrid,1887,19,1,17143,0.005895000067539513
hybrid,1887,19,2,17079,0.005492700031027198
hybrid,1887,19,3,17149,0.00548779999371618
hybrid,1887,20,1,16988,0.005912499967962503
hybrid,1887,20,2,17007,0.006715000024996698
hybrid,1887,20,3,17002,0.004734199959784746
hybrid,1887,21,1,16986,0.004408000037074089
hybrid,1887,21,2,16932,0.005043499986641109
hybrid,1887,21,3,17181,0.003441200009547174
hybrid,1887,22,1,17099,0.006729399901814759
hybrid,1887,22,2,17050,0.004813999985344708
hybrid,1887,22,3,17068,0.005841100006364286
hybrid,1887,23,1,17020,0.005643200012855232
hybrid,1887,23,2,17120,0.005440699984319508
hybrid,1887,23,3,17128,0.0031385000329464674
hybrid,1887,24,1,16921,0.003061800030991435
hybrid,1887,24,2,17094,0.005122200003825128
hybrid,1887,24,3,17036,0.00326079991646111
hybrid,1887,25,1,16981,0.0054030000464990735
hybrid,1887,25,2,17082,0.005879300064407289
hybrid,1887,25,3,17036,0.004960699938237667
hybrid,1887,26,1,17092,0.005649800063110888
hybrid,1887,26,2,17016,0.00542860000859946
hybrid,1887,26,3,17143,0.005599999916739762
